Energy_MeV,dE_dx
0.01,86.25
0.011,90.76
0.012,95.07
0.013000000000000001,99.22
0.014,103.2
0.015,107.1
0.016,110.8
0.017,114.4
0.018000000000000002,117.9
0.02,124.7
0.0225,132.6
0.025,140.1
0.0275,147.1
0.03,153.9
0.0325,160.3
0.035,166.5
0.0375,172.5
0.04,178.2
0.045,189.3
0.05,199.9
0.055,209.9
0.06,219.5
0.065,228.7
0.07,237.6
0.08,254.4
0.09,270.0
0.1,284.7
0.11,298.5
0.12,311.5
0.13,323.8
0.14,335.4
0.15,346.5
0.16,357.0
0.17,367.0
0.18,376.5
0.2,394.3
0.225,414.3
0.25,432.2
0.275,448.2
0.3,462.5
0.325,475.3
0.35000000000000003,486.7
0.375,496.9
0.4,506.0
0.45,521.1
0.5,532.9
0.55,541.7
0.6,548.1
0.65,552.5
0.7000000000000001,555.1
0.8,556.2
0.9,553.2
1.0,547.4
1.1,539.8
1.2,530.9
1.3,521.3
1.4,511.4
1.5,501.3
1.6,491.2
1.7,481.3
1.8,471.5
2.0,452.8
2.25,431.0
2.5,411.0
2.75,392.8
3.0,376.1
3.25,360.9
3.5,346.9
3.75,334.1
4.0,322.3
4.5,301.3
5.0,283.2
