Energy_MeV,dE_dx
0.01,58.92
0.011,61.36
0.012,63.67
0.013000000000000001,65.86
0.014,67.97
0.015,69.99
0.016,71.94
0.017,73.81
0.018000000000000002,75.62
0.02,79.03
0.0225,82.95
0.025,86.51
0.0275,89.74
0.03,92.67
0.0325,95.33
0.035,97.73
0.0375,99.9
0.04,101.9
0.045,105.2
0.05,107.8
0.055,109.9
0.06,111.5
0.065,112.6
0.07,113.3
0.08,113.9
0.09,113.5
0.1,112.5
0.11,110.9
0.12,109.1
0.13,107.0
0.14,104.8
0.15,102.5
0.16,100.2
0.17,97.97
0.18,95.76
0.2,91.53
0.225,86.68
0.25,82.32
0.275,78.42
0.3,74.94
0.325,71.82
0.35000000000000003,69.01
0.375,66.48
0.4,64.18
0.45,60.15
0.5,56.75
0.55,53.83
0.6,51.29
0.65,49.06
0.7000000000000001,47.08
0.8,43.74
0.9,41.01
1.0,38.75
1.1,37.21
1.2,35.73
1.3,34.22
1.4,32.85
1.5,31.6
1.6,30.45
1.7,29.39
1.8,28.41
2.0,26.64
2.25,24.74
2.5,23.13
2.75,21.74
3.0,20.53
3.25,19.47
3.5,18.53
3.75,17.69
4.0,16.93
4.5,15.62
5.0,14.53
