Energy_MeV,dE_dx
0.01,87.62
0.011,91.58
0.012,95.36
0.013000000000000001,98.96
0.014,102.4
0.015,105.7
0.016,108.9
0.017,112.0
0.018000000000000002,114.9
0.02,120.5
0.0225,126.9
0.025,132.7
0.0275,138.1
0.03,142.9
0.0325,147.4
0.035,151.5
0.0375,155.2
0.04,158.6
0.045,164.5
0.05,169.3
0.055,173.3
0.06,176.4
0.065,178.9
0.07,180.7
0.08,183.0
0.09,183.8
0.1,183.4
0.11,182.3
0.12,180.5
0.13,178.4
0.14,176.0
0.15,173.5
0.16,170.8
0.17,168.2
0.18,165.5
0.2,160.2
0.225,154.0
0.25,148.3
0.275,143.0
0.3,138.1
0.325,133.7
0.35000000000000003,129.5
0.375,125.7
0.4,122.2
0.45,115.9
0.5,110.4
0.55,105.5
0.6,101.1
0.65,97.19
0.7000000000000001,93.65
0.8,87.5
0.9,82.33
1.0,77.92
1.1,74.57
1.2,71.28
1.3,68.16
1.4,65.35
1.5,62.8
1.6,60.47
1.7,58.32
1.8,56.33
2.0,52.77
2.25,48.98
2.5,45.77
2.75,43.0
3.0,40.6
3.25,38.49
3.5,36.63
3.75,34.96
4.0,33.45
4.5,30.85
5.0,28.68
